customer_key,recency,frequency,monetary,customer_name,email,R_score,F_score,M_score,RFM_score,RFM_total,segment
3173,184,11,5563.56,Alex Avila,alex.avila@email.com,2,3,5,235,10,Clients Perdus
3174,19,15,1056.39,Allen Armold,allen.armold@email.com,5,4,2,542,11,Clients Fidèles
3175,259,12,1790.51,Andrew Allen,andrew.allen@email.com,1,3,3,133,7,Clients Perdus
3176,55,18,5086.9400000000005,Anna Andreadi,anna.andreadi@email.com,3,5,5,355,13,Champions
3177,415,6,886.15,Aaron Bergman,aaron.bergman@email.com,1,1,1,111,3,Clients à Risque
3178,54,18,7755.63,Adam Bellavance,adam.bellavance@email.com,3,5,5,355,13,Champions
3179,41,20,14473.57,Adrian Barton,adrian.barton@email.com,4,5,5,455,14,Champions
3180,41,12,966.71,Aimee Bixby,aimee.bixby@email.com,4,3,2,432,9,Clients Fidèles
3181,25,14,1113.8500000000001,Alan Barnes,alan.barnes@email.com,5,4,2,542,11,Clients Fidèles
3182,166,14,914.53,Alejandro Ballentine,alejandro.ballentine@email.com,2,4,1,241,7,Clients Perdus
3183,50,8,1515.86,Ann Blume,ann.blume@email.com,4,2,2,422,8,Nouveaux Clients
3184,232,5,925.8000000000001,Alyssa Crouse,alyssa.crouse@email.com,1,1,1,111,3,Clients à Risque
3185,11,9,5527.85,Amy Cox,amy.cox@email.com,5,2,5,525,12,Clients Potentiels
3186,6,18,2537.69,Ann Chong,ann.chong@email.com,5,5,3,553,13,Champions
3187,282,6,657.31,Anna Chung,anna.chung@email.com,1,1,1,111,3,Clients à Risque
3188,29,12,6106.88,Alan Dominguez,alan.dominguez@email.com,4,3,5,435,12,Clients Fidèles
3189,41,16,2052.91,Art Ferguson,art.ferguson@email.com,4,4,3,443,11,Clients Fidèles
3190,415,7,861.57,Art Foster,art.foster@email.com,1,1,1,111,3,Clients à Risque
3191,278,14,2582.9,Alejandro Grove,alejandro.grove@email.com,1,4,3,143,8,Clients Perdus
3192,118,5,367.55,Aleksandra Gannaway,aleksandra.gannaway@email.com,2,1,1,211,4,Clients à Risque
3193,8,9,660.97,Alex Grayson,alex.grayson@email.com,5,2,1,521,8,Nouveaux Clients
3194,114,8,200.95,Allen Goldenen,allen.goldenen@email.com,2,2,1,221,5,Clients à Risque
3195,78,14,1419.25,Andrew Gjertsen,andrew.gjertsen@email.com,3,4,2,342,9,Autres
3196,844,9,1455.0400000000002,Andy Gerbode,andy.gerbode@email.com,1,2,2,122,5,Clients à Risque
3197,97,15,3489.06,Anna Gayman,anna.gayman@email.com,3,4,4,344,11,Clients Potentiels
3198,77,5,170.59,Anthony Garverick,anthony.garverick@email.com,3,1,1,311,5,Autres
3199,96,21,4510.79,Arthur Gainer,arthur.gainer@email.com,3,5,5,355,13,Champions
3200,12,11,1744.7,Aaron Hawkins,aaron.hawkins@email.com,5,3,3,533,11,Clients Fidèles
3201,34,20,3250.35,Adam Hart,adam.hart@email.com,4,5,4,454,13,Champions
3202,60,16,1735.53,Adrian Hane,adrian.hane@email.com,3,4,3,343,10,Clients Potentiels
3203,55,8,1587.45,Alan Haines,alan.haines@email.com,3,2,2,322,7,Autres
3204,6,13,4805.35,Alan Hwang,alan.hwang@email.com,5,3,5,535,13,Champions
3205,230,8,2495.4,Amy Hunt,amy.hunt@email.com,1,2,3,123,6,Clients à Risque
3206,21,5,738.5,Angele Hood,angele.hood@email.com,5,1,1,511,7,Nouveaux Clients
3207,410,23,7888.3,Anna Häberlin,anna.häberlin@email.com,1,5,5,155,11,Clients Perdus
3208,13,18,4375.79,Arianne Irving,arianne.irving@email.com,5,5,5,555,15,Champions
3209,75,15,4867.34,Anthony Jacobs,anthony.jacobs@email.com,3,4,5,345,12,Clients Potentiels
3210,166,21,4501.39,Anthony Johnson,anthony.johnson@email.com,2,5,5,255,12,Clients Perdus
3211,121,9,1829.9,Ashley Jarboe,ashley.jarboe@email.com,2,2,3,223,7,Clients à Risque
3212,74,5,629.25,Astrea Jones,astrea.jones@email.com,3,1,1,311,5,Autres
3213,28,12,814.01,Alice McCarthy,alice.mccarthy@email.com,4,3,1,431,8,Clients Fidèles
3214,162,22,5664.0199999999995,Anne McFarland,anne.mcfarland@email.com,2,5,5,255,12,Clients Perdus
3215,501,1,161.28,Anthony O'Donnell,anthony.o'donnell@email.com,1,1,1,111,3,Clients à Risque
3216,41,10,545.93,Anne Pryor,anne.pryor@email.com,4,2,1,421,7,Nouveaux Clients
