Customer_ID,Customer_Name,Segment,City,State,Region,Gender,Age,Email,Registration_Date,Total_Sales,Total_Profit,Total_Orders,Average_Order_Value,Customer_Segment_Score
CG-12520,Claire Gute,Consumer,Henderson,Kentucky,South,M,21,claire.gute@email.com,2017-07-22,1148.7800000000002,328.7,3,382.93,Silver
DV-13045,Darrin Van Huff,Corporate,Los Angeles,California,West,M,30,darrin.van.huff@email.com,2015-08-03,1119.483,307.16,5,223.9,Silver
SO-20335,Sean O'Donnell,Consumer,Fort Lauderdale,Florida,South,M,70,sean.o'donnell@email.com,2017-04-01,2602.5755,655.25,6,433.76,Silver
BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,West,F,31,brosina.hoffman@email.com,2017-01-29,6255.351,1679.94,8,781.92,Gold
AA-10480,Andrew Allen,Consumer,Concord,North Carolina,South,M,27,andrew.allen@email.com,2015-08-28,1790.5120000000002,367.88,4,447.63,Silver
IM-15070,Irene Maddox,Consumer,Seattle,Washington,West,F,29,irene.maddox@email.com,2015-04-16,4930.474,1276.69,7,704.35,Silver
HP-14815,Harold Pawlan,Home Office,Fort Worth,Texas,Central,F,65,harold.pawlan@email.com,2015-09-04,1990.314,567.5400000000001,7,284.33,Silver
PK-19075,Pete Kriz,Consumer,Madison,Wisconsin,Central,M,64,pete.kriz@email.com,2017-07-16,8646.934,2344.6000000000004,12,720.58,Gold
AG-10270,Alejandro Grove,Consumer,West Jordan,Utah,West,F,21,alejandro.grove@email.com,2016-04-21,2582.898,637.0600000000001,5,516.58,Silver
ZD-21925,Zuschuss Donatelli,Consumer,San Francisco,California,West,F,31,zuschuss.donatelli@email.com,2017-05-17,1493.944,280.17,5,298.79,Silver
KB-16585,Ken Black,Corporate,Fremont,Nebraska,Central,F,51,ken.black@email.com,2016-07-22,2744.742,604.38,12,228.73,Silver
SF-20065,Sandra Flanagan,Consumer,Philadelphia,Pennsylvania,East,M,59,sandra.flanagan@email.com,2016-08-08,763.5459999999999,218.1,7,109.08,Bronze
EB-13870,Emily Burns,Consumer,Orem,Utah,West,F,62,emily.burns@email.com,2016-01-15,2767.219,663.53,10,276.72,Silver
EH-13945,Eric Hoffmann,Consumer,Los Angeles,California,West,M,37,eric.hoffmann@email.com,2015-03-04,684.1709999999999,168.21,8,85.52,Bronze
TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,M,21,tracy.blumstein@email.com,2015-06-13,4737.486,1255.45,9,526.39,Silver
MA-17560,Matt Abelman,Home Office,Houston,Texas,Central,M,52,matt.abelman@email.com,2017-04-12,4299.161,1096.98,11,390.83,Silver
GH-14485,Gene Hale,Corporate,Richardson,Texas,Central,M,44,gene.hale@email.com,2017-09-09,1361.2440000000001,187.66,2,680.62,Silver
SN-20710,Steve Nguyen,Home Office,Houston,Texas,Central,M,18,steve.nguyen@email.com,2017-11-04,3127.9592,711.6800000000001,7,446.85,Silver
LC-16930,Linda Cazamias,Corporate,Naperville,Illinois,Central,M,61,linda.cazamias@email.com,2015-10-31,4492.946,863.64,8,561.62,Silver
RA-19885,Ruben Ausman,Corporate,Los Angeles,California,West,F,50,ruben.ausman@email.com,2017-10-29,3546.224,832.28,6,591.04,Silver
ES-14080,Erin Smith,Corporate,Melbourne,Florida,South,F,60,erin.smith@email.com,2017-11-06,4657.924,769.29,9,517.55,Silver
ON-18715,Odella Nelson,Corporate,Eagan,Minnesota,Central,M,20,odella.nelson@email.com,2017-01-12,1567.52,421.09000000000003,9,174.17,Silver
PO-18865,Patrick O'Donnell,Consumer,Westland,Michigan,Central,F,19,patrick.o'donnell@email.com,2015-03-07,2493.214,552.66,7,356.17,Silver
LH-16900,Lena Hernandez,Consumer,Dover,Delaware,East,M,65,lena.hernandez@email.com,2015-10-31,2295.332,569.0600000000001,9,255.04,Silver
DP-13000,Darren Powers,Consumer,New Albany,Indiana,Central,F,67,darren.powers@email.com,2016-10-23,897.524,272.07,8,112.19,Bronze
JM-15265,Janet Molinari,Corporate,New York City,New York,East,M,56,janet.molinari@email.com,2016-04-02,1804.146,432.48999999999995,5,360.83,Silver
TB-21055,Ted Butterfield,Consumer,Troy,New York,East,F,45,ted.butterfield@email.com,2017-10-01,1451.361,358.04,4,362.84,Silver
KM-16720,Kunst Miller,Consumer,Los Angeles,California,West,M,71,kunst.miller@email.com,2017-05-09,4909.472,1050.67,8,613.68,Silver
PS-18970,Paul Stevenson,Home Office,Chicago,Illinois,Central,M,49,paul.stevenson@email.com,2017-05-31,1278.639,327.18,8,159.83,Silver
BS-11590,Brendan Sweed,Corporate,Gilbert,Arizona,West,M,55,brendan.sweed@email.com,2016-09-04,2454.928,716.18,6,409.15,Silver
KD-16270,Karen Daniels,Consumer,Springfield,Virginia,South,M,70,karen.daniels@email.com,2016-07-21,8282.358,1875.58,5,1656.47,Gold
HM-14980,Henry MacAllister,Consumer,New York City,New York,East,F,53,henry.macallister@email.com,2015-02-25,736.276,143.13,4,184.07,Bronze
TB-21520,Tracy Blumstein,Consumer,Jackson,Michigan,Central,F,42,tracy.blumstein@email.com,2015-06-19,4737.486,1255.45,9,526.39,Silver
JE-15745,Joel Eaton,Consumer,Memphis,Tennessee,South,M,18,joel.eaton@email.com,2015-12-09,6760.8150000000005,1642.33,13,520.06,Gold
KB-16600,Ken Brennan,Corporate,Houston,Texas,Central,M,41,ken.brennan@email.com,2015-07-02,983.922,257.49,7,140.56,Bronze
JE-15745,Joel Eaton,Consumer,Houston,Texas,Central,F,65,joel.eaton@email.com,2016-03-31,6760.8150000000005,1642.33,13,520.06,Gold
SC-20770,Stewart Carmichael,Corporate,Decatur,Alabama,South,F,26,stewart.carmichael@email.com,2015-07-27,4492.657,1100.93,7,641.81,Silver
DN-13690,Duane Noonan,Consumer,San Francisco,California,West,M,65,duane.noonan@email.com,2017-03-21,2139.79,496.9,7,305.68,Silver
